#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#####ATE ISLAM EVENTS#####

### ATE EURASIAN COURTIERS ###
EVTDESC_islamate1;An Islamic poet, in search of a new host, has showed up at your court. His time spent among the courts of France has gifted him with court knowledge, and by all accounts he is skilled with words. We may have use of him.;;;;;;;;;;;;;x

EVTDESC_islamate2;An Islamic steward, in search of a new host, has showed up at your court. Well versed in the way of coin from his time in Bordeaux, there is no denying his administrative capability. He would make a fine steward.;;;;;;;;;;;;;x

EVTDESC_islamate3;An Islamic scholar, fleeing persecution elsewhere near France, has showed up at your court. His time spent abroad in the libraries of the ancient university have made him a great and wise teacher.;;;;;;;;;;;;;x

EVTDESC_islamate4;An Islamic courtier, fleeing persecution elsewhere near France, has showed up at your court. He seems to know a lot about you, even things that you do not necessarily want others to know, which is impressive for a man you have never met. We may have use of him.;;;;;;;;;;;;;x

EVTDESC_islamate5;An Islamic musician, in search of a new host, has showed up at your court. Combining the famous melodies of the France with traditional Islamic nasheeds, his music is unlike anything you have ever heard before. We may have use of him.;;;;;;;;;;;;;x

EVTDESC_islamate6;An Islamic courtier, fleeing persecution elsewhere near France, has showed up at your court. His time spent treating and caring for his community has earned him a respectable career as a physician among his community.;;;;;;;;;;;;;x

EVTDESC_islamate7;An Islamic general, in search of a new host, has showed up at your court. Providing to you a valuable insight to the ancient Regiment Trainings of the the ancient Jannisary Order.;;;;;;;;;;;;;x

muslim_courtier_tooltip;A Muslim Courtier of much talent joins you...;;;;;;;;;;;;;x

EVTDESC_islamate8;An Islamic physician, in search of a new host, has showed up at your court. He is well versed in Islamic theories of medicine, but his community has expelled him for reasons he refuses to elaborate on. We may have use of him.;;;;;;;;;;;;;x

### NAQSHBANDI JIHAD EVENT ###

EVTNAME39670;The Naqshbandi Jihads;;;;;;;;;;;;;x
EVTDESC39670;After much discussion and debate by the ulama, his Magnificence, [d_naqshbandi.Holder.GetTitledFirstName] has been conviced that it is time to declare another era of great conquests, as in the days of the first Caliphs. The Dar al-Islam must grow again. All righteous Naqshbandi men should prepare to join the ranks of the ghazi for the upcoming struggles. This signals a new era of Naqshbandi expansion.;;;;;;;;;;;;;x
EVTDESC39671;The Holy city of Istanbul, where the great Sultans ruled the Sublime State of old, has fallen to infidels! His Magnificence, [d_naqshbandi.Holder.GetTitledFirstName] will not let this stand, and has declared that another era of great conquests is upon us, as in the days of the first Caliphs. The Dar al-Islam must be defended! All righteous Naqshbandi men should prepare to join the ranks of the ghazi for the upcoming struggles. This signals a new era of Naqshbandi expansion.;;;;;;;;;;;;;x
EVTDESC39673;A mighty empire has arisen in Anatolia, as was in the days of old. In light of these fortunate tidings, his Magnificence, [d_naqshbandi.Holder.GetTitledFirstName] has been conviced that it is time to declare another era of great conquests, as in the days of the first Caliphs. The Dar al-Islam must grow again. All righteous Naqshbandi men should prepare to join the ranks of the ghazi for the upcoming struggles. This signals a new era of Naqshbandi expansion.;;;;;;;;;;;;;x
EVTOPTA39670;Allahu Akbar!;;;;;;;;;;;;;x
EVTOPTB39670;Interesting..;;;;;;;;;;;;;x
EVTOPTC39670;Blasted Heathens!;;;;;;;;;;;;;x

### SUNNI MUSLIM EVENTS ###
EVTNAME_islamate32;A Unified Front;;;;;;;;;;;;;x
EVTDESC_islamate32;With the core of the Islamic world firmly under your control, and the representatives of the various Sunni movements formed after the time of the Disaster at your table, you begin. You give a long argument why the world fell into the chaos it did - largely in part because there was no defender of the faith - and make a passionate plea that, together, the Sunni faithful would survive better than divided by innovations and beset by polytheists, idolaters, and those who do not worship God. Slowly, the council turns in your favor, the Grand Mufti nods in agreements first, and reccomends you take the mantle of Caliph. By the end of the meeting, a landmark event has happened, as most of the Sunni faithful now recognize the unity of the People of the Prophet's Tradition once more.;;;;;;;;;;;;;x

### HAJJ REWRITEN EVENT ###

EVTTITLE_HAJJ;Performing the Hajj;;;;;;;;;;;;;x
