###########Cultures###########
=======<<<<<<< Updated upstream:ATE_Eurasia/localisation/00_EURASIA.csv

highlander;Albannach;;;;;;;;;;;;;x
lowlander;Scots;;;;;;;;;;;;;x
midlander;Midlunner;;;;;;;;;;;;;x
northerner;Norfie;;;;;;;;;;;;;x
scouse;Scouse;;;;;;;;;;;;;x
southerner;Sovner;;;;;;;;;;;;;x
westerner;Wesscountrie;;;;;;;;;;;;;x
irish;Éireannach;;;;;;;;;;;;;x
welsh;Cymry;;;;;;;;;;;;;x
ulsterman;Ullans;;;;;;;;;;;;;x
manx;Manninee;;;;;;;;;;;;;x
cornish;Kernowyon;;;;;;;;;;;;;x
>>>>>>> Stashed changes:ATE_Eurasia/localisation/00_religions.csv

