#Bastille Day Localisations
###ÄNSI###

celebrate_bastille_day;Celebrate Bastille Day;;;;;;;;;;;;;x
held_bastille_day_timer;Held Bastille Day;;;;;;;;;;;;;x
bastille_day_celebrations;placeholder;;;;;;;;;;;;;x
bastille_day_invitations_sent;Invite all the [jacobin.GetName] vassals in your realm;;;;;;;;;;;;;x
bastille_day_accepted;placeholder;;;;;;;;;;;;;x
EVTTITLE_bastilleday_1;Bastille Day;;;;;;;;;;;;;x
EVTDESC_bastilleday_1;Long before the event, it is said that great legendary warriors overthrew tyrannic lords with the help of our very rightful Marianne, establishing Liberty and Fraternity on every faithful realm. As it is a well-respected and established tradition, it is my duty to invite the fellow lords of my realm to duly celebrate such a divine day.;;;;;;;;;;;;x
EVTOPTA_bastilleday_1;Send Out The Invitations!;;;;;;;;;;;;;x
EVTTOOLTIP_bastilleday_1;[ROOT.GetName] is invited.;;;;;;;;;;;;;x
EVTDESC_bastilleday_2;Dear [ROOT.GetName], you are hereby solemnly invited to our glorious celebration of Bastille Day.;;;;;;;;;;;;;x
EVTOPTA_bastilleday_2;By [ROOT.Religion.GetRandomGodName], I will make sure to attend!;;;;;;;;;;;;;x
EVTOPTB_bastilleday_2;I do not have the time for such ridiculous celebrations.;;;;;;;;;;;;;x
EVTDESC_bastilleday_3;[FROM.GetName] has refused my invitation to Bastille Day, what a disgrace!;;;;;;;;;;;;;x
EVTOPTA_bastilleday_3;Curses!;;;;;;;;;;;;;x
EVTDESC_bastilleday_4;The celebrations are ready to start, except for one detail: we are very unfortunately lacking a woman capable of impersonating Marianne. Fortunately, some courtiers of mine will do very well in such an honourable task.;;;;;;;;;;;;;x
EVTOPTA_bastilleday_4;[ROOT.GetName] will do.;;;;;;;;;;;;;x
EVTOPTB_bastilleday_4;I am sure [ROOT.GetName] is our best choice.;;;;;;;;;;;;;x
EVTDESC_bastilleday_5;Now that we have our very own Marianne nothing is stopping us to celebrate Bastille Day, as it should be.;;;;;;;;;;;;;x
EVTOPTA_bastilleday_5;Long Live Marianne!;;;;;;;;;;;;;x
EVTOPTB_bastilleday_5;Lovely!;;;;;;;;;;;;;x
EVTDESC_bastilleday_7;While such a favour could create a popular outrage on a normal day, our rightful Marianne wishes that Justice be lenient today: I have the possibility to save some of the poor souls rotting in my dungeons...;;;;;;;;;;;;;x
EVTOPTA_bastilleday_7;Free them!;;;;;;;;;;;;;x
EVTOPTB_bastilleday_7;They are criminals after all...;;;;;;;;;;;;;x
EVTOPTC_bastilleday_7;I have an even better alternative idea that will please everyone here!;;;;;;;;;;;;;x
EVTDESC_bastilleday_9;The festivities are close to an end now. I am sure that all the rulers of this realm witnessed how well our Rightful Marianne is remembered and celebrated in this realm.;;;;;;;;;;;;;x
EVTOPTA_bastilleday_9;Vive la Liberté!;;;;;;;;;;;;;x
EVTDESC_bastilleday_10;The festivities are coming to an end now. Our Rightful Marianne will surely be pleased with how the feast was handled.;;;;;;;;;;;;;x
EVTOPTA_bastilleday_10;A celebration that will be remembered for ages!;;;;;;;;;;;;;x
CB_NAME_JACOBIN_TYRANNY_WAR;Tyranny War;;;;;;;;;;;;;x
WAR_NAME_JACOBIN_TYRANNY_WAR;Tyranny War against the disgracious rule of [FROM.GetName];;;;;;;;;;;;;x
tyranny_war_desc;Jacobin vassals have the ability to challenge their liege if they judge his rule to be disrespectful of the virtues Marianne brought upon this blessed earth.;;;;;;;;;;;;;x
CB_NAME_RECONQUEST_FRANCE;Maquis War for France;;;;;;;;;;;;;x
WAR_NAME_RECONQUEST_FRANCE;Maquis War to resist and reconquer France;;;;;;;;;;;;;x
CB_NAME_RECONQUEST_PROVENCE;Maquis War for Provence;;;;;;;;;;;;;x
WAR_NAME_RECONQUEST_PROVENCE;Maquis War to resist and reconquer Provence;;;;;;;;;;;;;x
CB_NAME_RECONQUEST_OCCITANIA;Maquis War for Occitania;;;;;;;;;;;;;x
WAR_NAME_RECONQUEST_OCCITANIA;Maquis War to resist and reconquer Occitania;;;;;;;;;;;;;x
CB_NAME_RECONQUEST_BALC;Maquis War for Balc;;;;;;;;;;;;;x
WAR_NAME_RECONQUEST_BALC;Maquis War to resist and reconquer Balc;;;;;;;;;;;;;x
CB_NAME;RECONQUEST_BRITTANY;Maquis War for Brittany;;;;;;;;;;;;;x
WAR_NAME_RECONQUEST_BRITTANY;Maquis War to resist and reconquer Brittany;;;;;;;;;;;;;x
EVTDESC_jacobin_13;Your various actions and misdeeds have shown you aren't worthy of our Rightful Marianne's consideration. You have gained the tyrant trait.;;;;;;;;;;;;;x
EVTOPTA_jacobin_13;Curses!;;;;;;;;;;;;;x
EVTDESC_jacobin_14;Through comittment and self-questioning, you have rejected [ROOT.GetEvilGodName] and its sins. You are no longer a tyrant.;;;;;;;;;;;;;x
EVTOPTA_jacobin_14;I knew Marianne was with me!;;;;;;;;;;;;;x
