###ÄNSI###

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###########Jewish Traits###########

haredi_yashvai;Yashva'i;;;;;;;;;;;;;x
haredi_yashvai_desc;Yashva'im stress highly intellectual and rationalist Talmud study through yeshivas, rejecting the emphasis on popularized mysticism prevalent in Chasssidim. Many belong to the traditions of the Ashenazi Litvaks or the Sefaradi Haredis.;;;;;;;;;;;;;x
haredi_breslov;Breslover;;;;;;;;;;;;;x
haredi_breslov_desc;Breslover Chassids follow the teachings of Rebbe Nachman of Breslov, who stressed building a personal connection with God and advocated for Kiruv (outreach to non-Haredi Jews). He left no successor and encouraged his followers to remain decentralized.;;;;;;;;;;;;;x
haredi_chassid;Chassid;;;;;;;;;;;;;x
haredi_chassid_desc;The Chassidic movement developed in Eastern Europe beginning with the Baal Shem Tov. Chassids follow one of many rabbinical courts, each run by a Rebbe of a given dynasty who guides his followers in all their life decisions and whose position is passed down from father to son.;;;;;;;;;;;;;x
avrach;Avrach;;;;;;;;;;;;;x
avrach_DESC;This character has began a period of intense study of the Talmud at a prominent yeshiva;;;;;;;;;;;;;x
hakham;Hakham;;;;;;;;;;;;;x
hakham_DESC;This character is considered an especially learned scholar of Talmud and Halakha after finishing yeshiva.;;;;;;;;;;;;;x
maskil;Maskil;;;;;;;;;;;;;x
maskil_DESC;While not especially distinguished, this character has a well-rounded knowledge of Talmud and Halakha.;;;;;;;;;;;;;x

###########Jewish Decisions###########

switch_haredi;Switch Haredi Movement;;;;;;;;;;;;;x
switch_haredi_desc;I can change which Haredi movement that I belong to;;;;;;;;;;;;;x
TXT_change_haredi_branch;Change your Haredi movement;;;;;;;;;;;;;x
restore_ivri_rabbi;Restore the Chief Rabbi Office;;;;;;;;;;;;;x
restore_ivri_rabbi_desc;As a pious Ivri you can restore the Chief Rabbi Office in Jerusalem...;;;;;;;;;;;;;x
celebrate_tish;Celebrate a Grand Tish;;;;;;;;;;;;;x
celebrate_tish_desc;The time has come to invite all the disciples of your Rebbe to an extravagant Tish to hear his words and worship with him.;;;;;;;;;;;;;x
bar_mitzvah;Prepare Grand Bar Mitzvah;;;;;;;;;;;;;x
bar_mitzvah_named;Prepare Grand Bar Mitzvah;;;;;;;;;;;;;x
bar_mitzvah_desc;As your child is soon of age you can choose to hold an extravagant Bar Mitzvah for [Root.GetHerHim], inviting your vassals and the members of your court. This can help build trust that will certainly prove useful for the child in the future.;;;;;;;;;;;;;x
bar_mitzvah_custom_tooltip;Send out the invitations.;;;;;;;;;;;;;x
form_empire_pale;Form Der Tkhum HaMoyshav;;;;;;;;;;;;;x
form_empire_pale_desc;If the Yiddish heartlands are been gathered under your rule, a new Empire can be created.;;;;;;;;;;;;;x
interfaith_dialogue;Interfaith Seminar;;;;;;;;;;;;;x
interfaith_dialogue_desc;Interfaith Dialogue is an important aspect of pious Haskalah Jews, surrounded by powerful non-Jewish Realms you could hold an inter-faith dialogue seminar with a nieghboring Non-Jewish Realm.;;;;;;;;;;;;;x
shvil_israel;Travel Shvil Israel;;;;;;;;;;;;;x
shvil_israel_desc;Tour the land of the fathers, and visit the holy sites of Judaism;;;;;;;;;;;;;x

###########Jewish Events###########

EVTDESC_haredi_choose;I find myself distanced from the community I was raised in. The teachings I once valued no longer hold the same meaning. While it might cause scandal, I can choose to join another Haredi community, but which teachings should I choose to follow?;;;;;;;;;;;;;x
EVTOPT_haredi_yashvai;I will follow the teachings of the Roshei Yeshiva;;;;;;;;;;;;;x
EVTOPT_haredi_yashvai_desc;Gain the Yashva'i trait;;;;;;;;;;;;;x
EVTOPT_haredi_chassid;I will follow the wisdom of the Tzadikim;;;;;;;;;;;;;x
EVTOPT_haredi_chassid_desc;Gain the Chassid trait;;;;;;;;;;;;;x
EVTOPT_haredi_breslov;I will follow the spirit of Rebbe Nachman;;;;;;;;;;;;;x
EVTOPT_haredi_breslov_desc;Gain the Breslover trait;;;;;;;;;;;;;x


#Tish Localizations;;;;;;;;;;;;;;
EVTTITLE_TISH_INVITATION;A Grand Tish;;;;;;;;;;;;;x
EVTDESC_TISH_INVITATION;To celebrate your great Rebbe [Root.job_spiritual.GetFirstName], Admor of [Root.Capital.GetName], you have decided to hold a grand tish in his honor, inviting all his disciples from far and wide to celebrate.;;;;;;;;;;;;;x
EVTOPT_inform_haredi_rabbi;Let all come and honor this wise Tzaddik!;;;;;;;;;;;;;x
EVTTITLE_RECITING_TORAH;The Wisdom of The Rebbe;;;;;;;;;;;;;x
TORAH_VERSE_1;A silence fills the room as the Rebbe clears his throat and begins to share some words of wisdom: \n A disciple once asked the Baal Shem Tov: "Why is it that one who clings to God and knows he is close to him, sometimes experiences a sense of interruption and remoteness?" \n The Baal Shem explained: "When a father sets out to teach his little son to walk, he stands in front of him and holds his two hands on either side of the child, so that he cannot fall, and the boy goes toward his father between his father's hands. But the moment he is close to his father, he moves away a little, and holds his hands farther apart, and he does this over and over, so that the child may learn to walk.";;;;;;;;;;;;;x
