###ÄNSI###

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

ca_culture_portuguese_1;Caçador Barracks;;;;;;;;;;;;;x
ca_culture_portuguese_2;Caçador Barracks;;;;;;;;;;;;;x
ca_culture_portuguese_3;Caçador Barracks;;;;;;;;;;;;;x
ca_culture_portuguese_4;Caçador Barracks;;;;;;;;;;;;;x
ca_culture_portuguese_1_desc;Experienced hunters are often recruited into local armies due to being proficient at the use of the bow and arrow as well as superb ambushers.;;;;;;;;;;;;;x
RETTYPE_CUL_POR;Caçadores;;;;;;;;;;;;;x
ca_culture_iberian_1;Tercio Quarters;;;;;;;;;;;;;x
ca_culture_iberian_2;Tercio Quarters;;;;;;;;;;;;;x
ca_culture_iberian_3;Tercio Quarters;;;;;;;;;;;;;x
ca_culture_iberian_4;Tercio Quarters;;;;;;;;;;;;;x
ca_culture_iberian_1_desc;Once said to have ruled the world of Warfare, they are highly discipline and very dense units that makes use of the antique 'Pike and Shot' tactics.;;;;;;;;;;;;;x
RETTYPE_CUL_HISP;Tercios;;;;;;;;;;;;;x
ca_culture_andalusian_1;Escuela del Arte Ecuestre;;;;;;;;;;;;;x
ca_culture_andalusian_2;Escuela del Arte Ecuestre;;;;;;;;;;;;;x
ca_culture_andalusian_3;Escuela del Arte Ecuestre;;;;;;;;;;;;;x
ca_culture_andalusian_4;Escuela del Arte Ecuestre;;;;;;;;;;;;;x
ca_culture_andalusian_1_desc;Something something light horses.;;;;;;;;;;;;;x
RETTYPE_CUL_ANDALUSIAN;Caballos del Rey;;;;;;;;;;;;;x
