###ÄNSI###
EVTTITLE_TREACHERY_SAN_MARCO;Treachery at San Marco!;;;;;;;;;;;;;x
lombardy_event_1;Your treasonous vassal, Lord Orso of [d_venice.GetName], has hatched a dastardly plot killing your lover Francesc with his conspirators! As you weep on your throne your marshal, [Root.job_marshal.GetTitledFirstName], and the rest of the consul have gathered before you loyal and true to bring justice to [k_lombardy.GetName] and your late husband's name. "Giustizia per Francesc!" rings across [k_lombardy.GetName],as you gaze eastward with a lit fire in your eye.;;;;;;;;;;;;;x
venice_event_1;"Lord [d_venice.Holder.GetName]..." your conspirators come to you pleased by the quick work done to the former King of [k_lombardy.GetName] war raging in the [d_veneto.GetAdjective] countryside, your spymaster, [Root.job_spymaster.GetTitledFirstName], and the rest of the consul have gathered before you loyal and true to bring retribution to [k_lombardy.GetName] and make a great name for yourself and your house. "Giustizia per Francesc!" they may scream across [k_lombardy.GetName], you don a bauta with a snarky grin as you march your troops west to meet your former lieges army...;;;;;;;;;;;;;x
EVTOPTA_story_tsm_1;My dear you shall be avenged!;;;;;;;;;;;;;x
treachery_will_be_answered_TT;You are filled with grief and anger...;;;;;;;;;;;;;x
EVTOPTB_story_tsm_1;Oh this game has just begun!;;;;;;;;;;;;;x
time_to_strike_TT;Your ambition grows...;;;;;;;;;;;;;x

EVTTITLE_TREACHERY_SAN_MARCO_FAILURE;[k_lombardy.GetName] Knows Justice!;;;;;;;;;;;;;x
lombardy_event_2;The cowardly Orso stands chained in his cell, your dungeon master catching him scurring away in a gondola when [c_venice.GetName] fell to your forces. You watch the worm wringle and plea. Ignoring him you search deep within you for guidance of your late husband and like a the clouds parting you hear...;;;;;;;;;;;;;x
venice_event_2;You are chained to the wall of a cell disgraced written upon you and your house for your treachery. The Royal forces caught you escaping and now you behold the wench. She watches over you with an unbreaking stare of disdain, but you can't help but taunt her with memories of her late husband. As the guards come closer you, the Queen suddenly opens to give her judgement...;;;;;;;;;;;;;x
EVTOPTA_story_tsm_2;"...Let his cowardly house be forever besmirched.";;;;;;;;;;;;;x
EVTOPTB_story_tsm_2;"...He is but a dog in need to be put down.";;;;;;;;;;;;;x
EVTOPTC_story_tsm_2;The Queen shall surely have my head!;;;;;;;;;;;;;x

EVTTITLE_TREACHERY_SAN_MARCO_SUCCESS;The Treachery of [d_venice.GetName]!;;;;;;;;;;;;;x
venice_event_3;The cunning Orso stands victorous, you congratulate yourself, your conspirators standing before you holding the crowns of [k_venetia.GetName] before you. You eagerly grab the crown and begin the slow precession in the ancient streets of [c_venice.GetName] as a festival is dedicated to your cunning.;;;;;;;;;;;;;x
EVTOPTA_story_tsm_3;Will my ambitions reach never cease?;;;;;;;;;;;;;x
become_king_of_venetia_TT;You become King of [k_venetia.GetName]...;;;;;;;;;;;;;x
