###ÄNSI###

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

handgunners;Handgunners;;;;;;;;;;;;;x
handgunners_offensive;Handgunners Attack;;;;;;;;;;;;;x
handgunners_defensive;Handgunners Defence;;;;;;;;;;;;;x
handgunners_morale;Handgunners Morale;;;;;;;;;;;;;x
handgunners_modifier;Combat Modifier boost to Handgunners Troops: $PERC$;;;;;;;;;;;;;x
RETTYPE_CUL_HANDGUNNERS;Handgunner;;;;;;;;;;;;;x
ca_tercio_gunners_1;Tercio Quarters;;;;;;;;;;;;;x
ca_tercio_gunners_2;Tercio Quarters;;;;;;;;;;;;;x
ca_tercio_gunners_3;Tercio Quarters;;;;;;;;;;;;;x
ca_tercio_gunners_4;Tercio Quarters;;;;;;;;;;;;;x
ca_tercio_gunners_1_desc;Once said to have ruled the world of Warfare, they are highly discipline and very dense units that makes use of the antique 'Pike and Shot' tactics.;;;;;;;;;;;;;x
